tag,n_cluster_rows,n_matched_learning_demographics,n_unmatched,match_rate
COMMUNICATION,1734,1726,8,0.9953863898500577
CONTRIBUTION,3691,3673,18,0.9951232728257925
PUNISHMENT,1812,1799,13,0.9928256070640177
RESPONSE_TO_END_GAME,1886,1879,7,0.996288441145281
RESPONSE_TO_OTHERS_OUTCOME,1825,1815,10,0.9945205479452055
RESPONSE_TO_PUNISHER,847,839,8,0.9905548996458088
RESPONSE_TO_REWARDER,858,856,2,0.9976689976689976
REWARD,1815,1805,10,0.9944903581267218
