tag,cluster_id,n_players,age_mean,age_std,age_missing_rate,share_gender_unknown,share_gender_man,share_gender_woman,share_gender_non_binary,share_education_unknown,share_education_high_school,share_education_bachelor,share_education_master,share_education_other
COMMUNICATION,0,91,32.252747252747255,9.263540727669247,0.0,0.3956043956043956,0.5714285714285714,0.01098901098901099,0.02197802197802198,0.0,0.3516483516483517,0.37362637362637363,0.15384615384615385,0.12087912087912088
COMMUNICATION,1,110,35.49090909090909,10.643295218630637,0.0,0.36363636363636365,0.6272727272727273,0.0,0.00909090909090909,0.01818181818181818,0.22727272727272727,0.6090909090909091,0.1,0.045454545454545456
COMMUNICATION,2,139,35.15107913669065,10.5459063210031,0.0,0.38848920863309355,0.5971223021582733,0.007194244604316547,0.007194244604316547,0.02158273381294964,0.3237410071942446,0.4028776978417266,0.2014388489208633,0.050359712230215826
COMMUNICATION,3,101,34.42574257425743,10.567257482103354,0.0,0.3069306930693069,0.6732673267326733,0.009900990099009901,0.009900990099009901,0.0,0.40594059405940597,0.4158415841584158,0.13861386138613863,0.039603960396039604
COMMUNICATION,4,114,38.1578947368421,10.886850839079292,0.0,0.37719298245614036,0.5964912280701754,0.0,0.02631578947368421,0.0,0.2631578947368421,0.5,0.14912280701754385,0.08771929824561403
COMMUNICATION,5,105,35.68571428571428,11.368237030727903,0.0,0.4095238095238095,0.5523809523809524,0.02857142857142857,0.009523809523809525,0.009523809523809525,0.4,0.38095238095238093,0.17142857142857143,0.0380952380952381
COMMUNICATION,6,129,38.921875,12.281225268452989,0.007751937984496124,0.46511627906976744,0.5193798449612403,0.007751937984496124,0.007751937984496124,0.023255813953488372,0.3178294573643411,0.4263565891472868,0.16279069767441862,0.06976744186046512
COMMUNICATION,7,131,38.25190839694657,11.75018396677613,0.0,0.4122137404580153,0.549618320610687,0.015267175572519083,0.022900763358778626,0.0,0.2748091603053435,0.4122137404580153,0.16793893129770993,0.1450381679389313
COMMUNICATION,8,99,38.313131313131315,14.1526996520722,0.0,0.46464646464646464,0.48484848484848486,0.030303030303030304,0.020202020202020204,0.0,0.37373737373737376,0.3939393939393939,0.18181818181818182,0.050505050505050504
COMMUNICATION,9,113,40.283185840707965,14.221757116266732,0.0,0.4247787610619469,0.5752212389380531,0.0,0.0,0.017699115044247787,0.35398230088495575,0.4247787610619469,0.168141592920354,0.035398230088495575
COMMUNICATION,10,84,39.04761904761905,11.250600799919571,0.0,0.4523809523809524,0.5357142857142857,0.011904761904761904,0.0,0.0,0.35714285714285715,0.36904761904761907,0.19047619047619047,0.08333333333333333
COMMUNICATION,11,121,39.041666666666664,11.927931934081855,0.008264462809917356,0.49586776859504134,0.4628099173553719,0.024793388429752067,0.01652892561983471,0.0,0.256198347107438,0.49586776859504134,0.1652892561983471,0.08264462809917356
COMMUNICATION,12,122,39.553719008264466,11.210077618838579,0.00819672131147541,0.4426229508196721,0.5327868852459017,0.00819672131147541,0.01639344262295082,0.00819672131147541,0.26229508196721313,0.3524590163934426,0.28688524590163933,0.09016393442622951
COMMUNICATION,13,142,39.9290780141844,11.24127940740283,0.007042253521126761,0.5070422535211268,0.4507042253521127,0.02112676056338028,0.02112676056338028,0.014084507042253521,0.28169014084507044,0.4154929577464789,0.19014084507042253,0.09859154929577464
COMMUNICATION,14,125,38.64,11.25037633779135,0.0,0.392,0.6,0.0,0.008,0.0,0.352,0.384,0.224,0.04
CONTRIBUTION,0,228,38.242290748898675,12.214831041979973,0.0043859649122807015,0.42543859649122806,0.5657894736842105,0.0,0.008771929824561403,0.0043859649122807015,0.31140350877192985,0.4166666666666667,0.17543859649122806,0.09210526315789473
CONTRIBUTION,1,303,39.04950495049505,12.331548060510652,0.0,0.5181518151815182,0.45874587458745875,0.0165016501650165,0.006600660066006601,0.0033003300330033004,0.3102310231023102,0.3927392739273927,0.2145214521452145,0.07920792079207921
CONTRIBUTION,2,234,40.68376068376068,12.825771783719736,0.0,0.38461538461538464,0.594017094017094,0.017094017094017096,0.004273504273504274,0.004273504273504274,0.29914529914529914,0.41452991452991456,0.21794871794871795,0.0641025641025641
CONTRIBUTION,3,139,42.73381294964029,14.17467405732581,0.0,0.45323741007194246,0.5107913669064749,0.02877697841726619,0.007194244604316547,0.0,0.2589928057553957,0.4676258992805755,0.2302158273381295,0.04316546762589928
CONTRIBUTION,4,288,39.271777003484324,11.770355288368926,0.003472222222222222,0.46875,0.5034722222222222,0.020833333333333332,0.006944444444444444,0.010416666666666666,0.3020833333333333,0.4375,0.1909722222222222,0.059027777777777776
CONTRIBUTION,5,292,40.407534246575345,12.4963917025282,0.0,0.4280821917808219,0.547945205479452,0.00684931506849315,0.017123287671232876,0.00684931506849315,0.2945205479452055,0.4143835616438356,0.21232876712328766,0.07191780821917808
CONTRIBUTION,6,264,38.66412213740458,11.809542661991973,0.007575757575757576,0.5227272727272727,0.4431818181818182,0.01893939393939394,0.015151515151515152,0.003787878787878788,0.29545454545454547,0.4393939393939394,0.17424242424242425,0.08712121212121213
CONTRIBUTION,7,237,37.130801687763714,12.65697120630703,0.0,0.45147679324894513,0.5274261603375527,0.008438818565400843,0.012658227848101266,0.008438818565400843,0.34177215189873417,0.38396624472573837,0.20675105485232068,0.05907172995780591
CONTRIBUTION,8,202,37.295,12.114942598743681,0.009900990099009901,0.42574257425742573,0.5544554455445545,0.01485148514851485,0.0049504950495049506,0.0049504950495049506,0.28217821782178215,0.39603960396039606,0.22277227722772278,0.09405940594059406
CONTRIBUTION,9,262,37.50381679389313,12.119060726221614,0.0,0.4351145038167939,0.5343511450381679,0.007633587786259542,0.022900763358778626,0.011450381679389313,0.37404580152671757,0.4083969465648855,0.1183206106870229,0.08778625954198473
CONTRIBUTION,10,254,36.857142857142854,11.123511072369197,0.007874015748031496,0.44881889763779526,0.5236220472440944,0.007874015748031496,0.01968503937007874,0.007874015748031496,0.25984251968503935,0.4645669291338583,0.16535433070866143,0.10236220472440945
CONTRIBUTION,11,227,36.15418502202643,9.925296973829688,0.0,0.3392070484581498,0.6475770925110133,0.00881057268722467,0.004405286343612335,0.013215859030837005,0.3303964757709251,0.43612334801762115,0.17180616740088106,0.048458149779735685
CONTRIBUTION,12,215,36.425233644859816,11.148233767836809,0.004651162790697674,0.4232558139534884,0.5627906976744186,0.009302325581395349,0.004651162790697674,0.0,0.4,0.40930232558139534,0.13023255813953488,0.06046511627906977
CONTRIBUTION,13,222,38.090090090090094,11.231862845417604,0.0,0.3738738738738739,0.5900900900900901,0.0045045045045045045,0.03153153153153153,0.0045045045045045045,0.32882882882882886,0.42342342342342343,0.17117117117117117,0.07207207207207207
CONTRIBUTION,14,306,35.91830065359477,10.754939012766533,0.0,0.3300653594771242,0.6601307189542484,0.0,0.00980392156862745,0.00980392156862745,0.3562091503267974,0.38235294117647056,0.16993464052287582,0.08169934640522876
PUNISHMENT,0,127,37.181102362204726,11.77461442285475,0.0,0.4251968503937008,0.5669291338582677,0.007874015748031496,0.0,0.0,0.33858267716535434,0.3858267716535433,0.1968503937007874,0.07874015748031496
PUNISHMENT,1,108,42.31481481481482,14.967658684892637,0.0,0.37962962962962965,0.6018518518518519,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.3888888888888889,0.4166666666666667,0.10185185185185185,0.08333333333333333
PUNISHMENT,2,141,37.87943262411348,11.81129917694128,0.0,0.46808510638297873,0.5106382978723404,0.02127659574468085,0.0,0.0,0.1773049645390071,0.49645390070921985,0.2553191489361702,0.07092198581560284
PUNISHMENT,3,113,39.5945945945946,11.308386572787779,0.017699115044247787,0.4247787610619469,0.5575221238938053,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.336283185840708,0.37168141592920356,0.19469026548672566,0.08849557522123894
PUNISHMENT,4,179,39.258426966292134,11.500948710449874,0.00558659217877095,0.5139664804469274,0.4748603351955307,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.2849162011173184,0.4692737430167598,0.16201117318435754,0.0782122905027933
PUNISHMENT,5,165,38.00606060606061,11.05005075018528,0.0,0.38181818181818183,0.6181818181818182,0.0,0.0,0.012121212121212121,0.32727272727272727,0.3696969696969697,0.18181818181818182,0.10909090909090909
PUNISHMENT,6,84,34.916666666666664,9.915557124658678,0.0,0.40476190476190477,0.5595238095238095,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.27380952380952384,0.5238095238095238,0.11904761904761904,0.07142857142857142
PUNISHMENT,7,103,38.49514563106796,11.998262771643533,0.0,0.4077669902912621,0.5825242718446602,0.0,0.009708737864077669,0.0,0.2621359223300971,0.4563106796116505,0.21359223300970873,0.06796116504854369
PUNISHMENT,8,92,39.869565217391305,13.31215869194985,0.0,0.4891304347826087,0.4891304347826087,0.021739130434782608,0.0,0.010869565217391304,0.41304347826086957,0.34782608695652173,0.17391304347826086,0.05434782608695652
PUNISHMENT,9,120,38.225,11.435946937308742,0.0,0.45,0.5333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.08333333333333333
PUNISHMENT,10,91,35.417582417582416,10.909797771896939,0.0,0.42857142857142855,0.5274725274725275,0.02197802197802198,0.02197802197802198,0.0,0.2857142857142857,0.43956043956043955,0.2087912087912088,0.06593406593406594
PUNISHMENT,11,108,39.53703703703704,12.131234056637982,0.0,0.49074074074074076,0.49074074074074076,0.009259259259259259,0.009259259259259259,0.0,0.3055555555555556,0.3888888888888889,0.2222222222222222,0.08333333333333333
PUNISHMENT,12,101,38.198019801980195,11.96078576179692,0.0,0.3069306930693069,0.6831683168316832,0.009900990099009901,0.0,0.009900990099009901,0.32673267326732675,0.45544554455445546,0.16831683168316833,0.039603960396039604
PUNISHMENT,13,151,37.96026490066225,11.341887435344548,0.0,0.31788079470198677,0.6291390728476821,0.026490066225165563,0.026490066225165563,0.006622516556291391,0.3509933774834437,0.4105960264900662,0.16556291390728478,0.06622516556291391
PUNISHMENT,14,116,38.87068965517241,12.335547905502033,0.0,0.49137931034482757,0.5,0.008620689655172414,0.0,0.008620689655172414,0.23275862068965517,0.4827586206896552,0.20689655172413793,0.06896551724137931
RESPONSE_TO_END_GAME,0,106,36.34285714285714,11.86772333444192,0.009433962264150943,0.39622641509433965,0.5943396226415094,0.009433962264150943,0.0,0.0,0.36792452830188677,0.37735849056603776,0.16037735849056603,0.09433962264150944
RESPONSE_TO_END_GAME,1,131,37.05343511450382,12.04115569274442,0.0,0.42748091603053434,0.549618320610687,0.015267175572519083,0.007633587786259542,0.0,0.2824427480916031,0.42748091603053434,0.2595419847328244,0.030534351145038167
RESPONSE_TO_END_GAME,2,165,37.30487804878049,10.342821848447242,0.006060606060606061,0.32727272727272727,0.6545454545454545,0.006060606060606061,0.012121212121212121,0.006060606060606061,0.37575757575757573,0.4,0.1696969696969697,0.048484848484848485
RESPONSE_TO_END_GAME,3,124,37.983870967741936,11.102613675267625,0.0,0.49193548387096775,0.47580645161290325,0.016129032258064516,0.016129032258064516,0.008064516129032258,0.23387096774193547,0.45161290322580644,0.1935483870967742,0.11290322580645161
RESPONSE_TO_END_GAME,4,123,38.65573770491803,11.797023361640662,0.008130081300813009,0.4796747967479675,0.5040650406504065,0.016260162601626018,0.0,0.016260162601626018,0.2845528455284553,0.34146341463414637,0.2845528455284553,0.07317073170731707
RESPONSE_TO_END_GAME,5,135,38.370370370370374,12.385439658463637,0.0,0.37777777777777777,0.6074074074074074,0.0,0.014814814814814815,0.022222222222222223,0.3851851851851852,0.35555555555555557,0.15555555555555556,0.08148148148148149
RESPONSE_TO_END_GAME,6,137,39.213235294117645,12.957713611896596,0.0072992700729927005,0.44525547445255476,0.5328467153284672,0.014598540145985401,0.0072992700729927005,0.0072992700729927005,0.36496350364963503,0.40145985401459855,0.16058394160583941,0.06569343065693431
RESPONSE_TO_END_GAME,7,128,36.6640625,10.994112485798647,0.0,0.421875,0.5625,0.0,0.015625,0.0,0.3046875,0.4296875,0.21875,0.046875
