metric,distance_kind,n_treatments,mean_score,median_score
mean_action_premium_distance,mean_wasserstein_1d,10,3.3810000000000002,3.46
mean_process_premium_distance,mean_wasserstein_1d,5,1.8539999999999999,1.7100000000000002
mean_send_field_distance,mean_wasserstein_1d,10,2.7485,2.7474999999999996
joint_pattern_distribution,total_variation,10,0.53,0.6300000000000001
action_premium,wasserstein_1d,5,3.184,3.1000000000000005
action_premium_after_check,wasserstein_1d,4,3.4,3.42
action_premium_fast,wasserstein_1d,1,3.8600000000000003,3.8600000000000003
action_premium_slow,wasserstein_1d,1,3.0200000000000005,3.0200000000000005
action_premium_without_check,wasserstein_1d,4,3.8249999999999997,3.76
process_premium_if_act,wasserstein_1d,5,1.884,1.8600000000000003
process_premium_if_no_act,wasserstein_1d,5,1.8240000000000003,1.7400000000000002
return_pct,wasserstein_1d,10,11.838000000000001,11.530000000000001
send_if_act,wasserstein_1d,5,2.68,2.76
send_if_act_after_check,wasserstein_1d,4,2.745,2.74
send_if_act_fast,wasserstein_1d,1,2.9000000000000004,2.9000000000000004
send_if_act_slow,wasserstein_1d,1,3.5999999999999996,3.5999999999999996
send_if_act_without_check,wasserstein_1d,4,2.935,2.7300000000000004
send_if_no_act,wasserstein_1d,5,2.8,2.7600000000000002
send_if_no_act_after_check,wasserstein_1d,4,2.565,2.6900000000000004
send_if_no_act_fast,wasserstein_1d,1,2.88,2.88
send_if_no_act_slow,wasserstein_1d,1,2.06,2.06
send_if_no_act_without_check,wasserstein_1d,4,2.68,2.8400000000000003
