metric,n_treatments,mean_abs_error,median_abs_error
act_rate,10,0.44800000000000006,0.62
check_rate,8,0.2575,0.24
fast_rate,2,0.19,0.19
mean_action_premium,5,1.44,1.5999999999999996
mean_action_premium_after_check,4,2.03,1.7599999999999998
mean_action_premium_fast,1,1.1400000000000001,1.1400000000000001
mean_action_premium_slow,1,2.5,2.5
mean_action_premium_without_check,4,1.625,1.6500000000000001
mean_fast_premium_if_act,1,2.14,2.14
mean_fast_premium_if_no_act,1,0.78,0.78
mean_process_premium_if_act,4,0.81,0.77
mean_process_premium_if_no_act,4,0.615,0.55
mean_return_pct,10,9.154,9.150000000000002
mean_send_if_act,5,0.8080000000000002,0.8400000000000007
mean_send_if_act_after_check,4,1.065,1.1199999999999997
mean_send_if_act_fast,1,0.6600000000000001,0.6600000000000001
mean_send_if_act_slow,1,2.8,2.8
mean_send_if_act_without_check,4,1.075,0.9899999999999998
mean_send_if_no_act,5,0.7040000000000001,0.28000000000000025
mean_send_if_no_act_after_check,4,1.2650000000000001,1.42
mean_send_if_no_act_fast,1,0.4800000000000004,0.4800000000000004
mean_send_if_no_act_slow,1,0.2999999999999998,0.2999999999999998
mean_send_if_no_act_without_check,4,0.6499999999999998,0.45999999999999974
pattern_checked_act,8,0.505,0.54
pattern_checked_no_act,8,0.2475,0.2
pattern_fast_act,2,0.52,0.52
pattern_fast_no_act,2,0.33,0.33
pattern_slow_act,2,0.10999999999999999,0.10999999999999999
pattern_slow_no_act,2,0.30000000000000004,0.30000000000000004
pattern_unchecked_act,8,0.1025,0.08
pattern_unchecked_no_act,8,0.155,0.13
