run_name,label,family,variant,order,summary_path,status,batch_status,batch_completed,batch_failed,batch_total,parse_success_count,parse_error_count
baseline_gpt_5_mini,Baseline,reference,baseline,0,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/baseline_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv,analysis_available,,,,,417,0
twin_sampled_seed_0_gpt_5_mini,Full Twin sampled,reference,full_twin_sampled,1,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_sampled_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv,analysis_available,,,,,417,0
twin_pgg_background_only_seed_0_gpt_5_mini,Background only,ablation,twin_pgg_background_only,2,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_pgg_background_only_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv,analysis_available,completed,417.0,0.0,417.0,416,1
twin_pgg_direct_social_only_seed_0_gpt_5_mini,Direct social only,ablation,twin_pgg_direct_social_only,3,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_pgg_direct_social_only_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv,analysis_available,completed,417.0,0.0,417.0,417,0
twin_pgg_self_report_social_only_seed_0_gpt_5_mini,Self-report social only,ablation,twin_pgg_self_report_social_only,4,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_pgg_self_report_social_only_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv,analysis_available,completed,417.0,0.0,417.0,417,0
twin_pgg_non_social_econ_only_seed_0_gpt_5_mini,Non-social econ only,ablation,twin_pgg_non_social_econ_only,5,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_pgg_non_social_econ_only_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv,analysis_available,completed,417.0,0.0,417.0,416,1
twin_pgg_cognitive_only_seed_0_gpt_5_mini,Cognitive only,ablation,twin_pgg_cognitive_only,6,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_pgg_cognitive_only_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv,analysis_available,completed,417.0,0.0,417.0,416,1
twin_pgg_misc_heuristics_pricing_text_only_seed_0_gpt_5_mini,Misc heuristics/pricing/text only,ablation,twin_pgg_misc_heuristics_pricing_text_only,7,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_pgg_misc_heuristics_pricing_text_only_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv,analysis_available,completed,417.0,0.0,417.0,416,1
