run_name,label,family,variant,order,metric,num_treatments,mean_wasserstein_distance,median_wasserstein_distance,source_summary_path
baseline_gpt_5_mini,Baseline,reference,baseline,0,final_round_normalized_efficiency,40,0.6619579569413095,0.6822736383601209,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/baseline_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
baseline_gpt_5_mini,Baseline,reference,baseline,0,final_total_contribution_rate,40,0.5374852668662642,0.5911830182631266,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/baseline_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
baseline_gpt_5_mini,Baseline,reference,baseline,0,first_round_normalized_efficiency,40,0.1414558391135146,0.1246665940292002,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/baseline_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
baseline_gpt_5_mini,Baseline,reference,baseline,0,first_round_total_contribution_rate,40,0.1360667896765758,0.13125,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/baseline_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
baseline_gpt_5_mini,Baseline,reference,baseline,0,mean_round_normalized_efficiency,40,0.3539256346075455,0.336744037687974,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/baseline_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
baseline_gpt_5_mini,Baseline,reference,baseline,0,mean_total_contribution_rate,40,0.2939994141777877,0.268872181059681,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/baseline_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
twin_sampled_seed_0_gpt_5_mini,Full Twin sampled,reference,full_twin_sampled,1,final_round_normalized_efficiency,40,0.4712251859148558,0.4138918003568927,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_sampled_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
twin_sampled_seed_0_gpt_5_mini,Full Twin sampled,reference,full_twin_sampled,1,final_total_contribution_rate,40,0.3264931008231355,0.3358333333333333,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_sampled_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
twin_sampled_seed_0_gpt_5_mini,Full Twin sampled,reference,full_twin_sampled,1,first_round_normalized_efficiency,40,0.0994062931338817,0.0830873942621218,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_sampled_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
twin_sampled_seed_0_gpt_5_mini,Full Twin sampled,reference,full_twin_sampled,1,first_round_total_contribution_rate,40,0.0722338148571701,0.062310606060606,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_sampled_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
twin_sampled_seed_0_gpt_5_mini,Full Twin sampled,reference,full_twin_sampled,1,mean_round_normalized_efficiency,40,0.2436109652924535,0.2070231469352171,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/forecasting/pgg/results/twin_sampled_seed_0_gpt_5_mini__vs_human_treatments/treatment_wasserstein_summary.csv
