metric_family,metric,distance_kind,bootstrap_mean,bootstrap_median,bootstrap_p05,bootstrap_p95,n_treatments,model_score,median_value
distribution_distance,final_surplus_ratio,wasserstein_1d,0.08660009825768382,0.08149027133238154,0.05217698169651833,0.1392435361115829,2,0.28656319556664694,0.28656319556664694
distribution_distance,proposer_net_surplus,wasserstein_1d,0.2542385219953155,0.24600991802078762,0.1501351833552919,0.37705144744546915,2,1.2597880983750547,1.2597880983750547
distribution_distance,trade_ratio,wasserstein_1d,0.06209095963576571,0.060036422035831906,0.03857844238611835,0.09476069790381383,2,0.3988645985098279,0.3988645985098279
distribution_distance,acceptance_rate,wasserstein_1d,0.04557778875713658,0.042737154150197645,0.011288153271848908,0.09381862099253403,2,0.1113032498902064,0.1113032498902064
distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.2619889454755729,0.25103576465122257,0.1655602287741437,0.3894175210115054,2,0.8958264249676462,0.8958264249676462
distribution_distance,declined_proposer_net_surplus,wasserstein_1d,0.35458150611851535,0.33911685568561745,0.20013969508481771,0.546163530259468,2,1.706539816940936,1.706539816940936
distribution_distance,accepted_trade_ratio,wasserstein_1d,0.08128792582380333,0.07821684164428523,0.04577970377610344,0.12145515051932239,2,0.3363876081147073,0.3363876081147073
distribution_distance,declined_trade_ratio,wasserstein_1d,0.07315676670166008,0.06960107132604366,0.04031687201116758,0.12026344838218232,2,0.4530889931309708,0.4530889931309708
distribution_distance,final_total_surplus,wasserstein_1d,1.8294107378129114,1.7432600461133072,1.1286186594202905,3.009291419631093,2,4.421928524374176,4.421928524374176
distribution_distance,mean_player_final_surplus,wasserstein_1d,0.6098035792709705,0.5810866820377689,0.37620621980676355,1.003097139877031,2,1.473976174791392,1.473976174791392
