n_clusters,train_log_likelihood,bic,aic,avg_assignment_entropy,cluster_mass_min,cluster_mass_max,cluster_mass_std
4,33.21946697195352,-249991.2165552099,-257511.10958856437,0.0022399639185920585,0.09494422406267315,0.44227977703972693,0.12573974538144317
6,40.07167600111478,-298639.8175806747,-309922.793032722,0.0004241441975924163,0.001278118609406953,0.3632414952836946,0.12828840948592038
8,46.66584812749368,-345269.53787877044,-360315.59574951057,0.0015496204754507712,0.0005112474437627812,0.3047018801461157,0.08848052805320271
10,52.0010890928788,-382049.38077325077,-400858.5210626837,0.002686682902236455,0.0023006134969325155,0.19273471232500938,0.0741158696307424
