dataset_name,n_rows,mean_tvd_baseline,mean_tvd_twin,se_tvd_baseline,se_tvd_twin,weighted_mean_tvd_baseline,weighted_mean_tvd_twin,mean_normalized_predicted_entropy_baseline,mean_normalized_predicted_entropy_twin,mean_predicted_entropy_baseline,mean_predicted_entropy_twin,mean_jsd_baseline,mean_jsd_twin,modal_match_baseline,modal_match_twin
Choices13k,500,0.17485732011312324,0.2198706934632067,0.00539598374115465,0.0066892108474491735,0.17127553001889342,0.2179781504762113,1.0,0.9442618318056478,0.6931471805599454,0.6545124264264541,0.026471136867946724,0.039107228152965835,0.46,0.46
DICES,247,0.17083828780990903,0.1522151487079551,0.015134637973738613,0.01389611558175411,0.171191135734072,0.1516553230320868,0.3679882762792434,0.3388162020320122,0.4042764424061722,0.3722276431522255,0.07207553145963307,0.06169427269271059,0.902834008097166,0.9068825910931174
OSPsychBig5,40,0.14000902165196466,0.22095078540680166,0.011584812743211917,0.018871228168977402,0.1400090216519647,0.22095078540680166,0.9381479925260807,0.8430687183454275,1.5098909466454171,1.356866758092357,0.018529236959893346,0.0422230933250131,0.5,0.35
OSPsychRWAS,22,0.31980534788596243,0.2051823589012337,0.01802469803218348,0.01908616149090646,0.3198053084535214,0.20518137093915262,0.830706721879701,0.8589642572832534,1.8252492258724828,1.8873373771561168,0.07393553317746483,0.03347492630214369,0.45454545454545453,0.7272727272727273
OpinionQA,310,0.16477843476154286,0.15508333328878574,0.0051877513809520884,0.004903517840330778,0.16583192122982124,0.15809334750308235,0.80442393685576,0.8031665339850499,1.1634762388618896,1.155166194420992,0.029757520115894942,0.027265234083202507,0.6516129032258065,0.6967741935483871
