dataset_name,delta_persona_minus_baseline,p_value_bh,significant_bh_0_05,direction,model
ChaosNLI,28.923375117764888,3.796891907063004e-15,True,persona_summary_better,gpt-5-mini
Choices13k,-27.638276184702796,2.548807493177002e-17,True,baseline_better,gpt-5-mini
ConspiracyCorr,10.745967741935443,,False,,gpt-5-mini
DICES,3.5198095094832262,0.0010964933325332,True,persona_summary_better,gpt-5-mini
GlobalOpinionQA,-3.464182118851734,0.674143065171002,False,baseline_better,gpt-5-mini
ISSP,-15.795488734428655,0.0856306374647723,False,baseline_better,gpt-5-mini
Jester,-11.179131666330523,0.0032347445140384,True,baseline_better,gpt-5-mini
MoralMachine,25.11986130259905,1.1711708394712075e-06,True,persona_summary_better,gpt-5-mini
NumberGame,2.247851326826701,0.1790774311377414,False,persona_summary_better,gpt-5-mini
OSPsychBig5,-23.23187759697623,0.0074731428577354,True,baseline_better,gpt-5-mini
OSPsychMACH,-15.534790481117485,,False,,gpt-5-mini
OSPsychMGKT,2.8563696644529264,0.0878291497621214,False,persona_summary_better,gpt-5-mini
OSPsychRWAS,44.74141446784338,2.8731267485511476e-07,True,persona_summary_better,gpt-5-mini
OpinionQA,2.413051622834297,0.0878291497621214,False,persona_summary_better,gpt-5-mini
TISP,-11.16086812509008,0.5165857787760503,False,baseline_better,gpt-5-mini
WisdomOfCrowds,3.1820542417588884,0.1223847219218595,False,persona_summary_better,gpt-5-mini
ChaosNLI,4.838413243464233,1.1792683133469852e-17,True,persona_summary_better,gpt-5-nano
Choices13k,-3.697565129821513,0.0002979701095982,True,baseline_better,gpt-5-nano
ConspiracyCorr,84.21875000000001,,False,,gpt-5-nano
DICES,-71.07338454607225,8.151527921952485e-88,True,baseline_better,gpt-5-nano
GlobalOpinionQA,29.203047448215223,0.0003191639089259,True,persona_summary_better,gpt-5-nano
ISSP,-3.851340868568879,0.5066171205066186,False,baseline_better,gpt-5-nano
Jester,21.87910588402236,1.5795343957128587e-68,True,persona_summary_better,gpt-5-nano
MoralMachine,5.3355692407058495,0.005076569582901,True,persona_summary_better,gpt-5-nano
NumberGame,10.673497866142329,1.1792683133469852e-17,True,persona_summary_better,gpt-5-nano
OSPsychBig5,15.722825271561964,0.0337568097180578,True,persona_summary_better,gpt-5-nano
OSPsychMACH,-61.58434797871562,,False,,gpt-5-nano
OSPsychMGKT,-6.80978941900694,0.0597924493108679,False,baseline_better,gpt-5-nano
OSPsychRWAS,19.561649999794977,0.0061138257103468,True,persona_summary_better,gpt-5-nano
OpinionQA,18.99220292585503,1.7362467945287259e-12,True,persona_summary_better,gpt-5-nano
TISP,5.909324344946384,0.6835267699434808,False,persona_summary_better,gpt-5-nano
WisdomOfCrowds,8.450042374090538,0.0006758491150686,True,persona_summary_better,gpt-5-nano
