dataset_name,baseline_score_mini,augmented_score_mini,delta_score_mini,baseline_score_nano,augmented_score_nano,delta_score_nano,avg_delta
ConspiracyCorr,-102.9032258064516,-92.15725806451616,10.745967741935443,-177.4193548387097,-93.20060483870968,84.21875000000001,47.48235887096773
GlobalOpinionQA,-127.5901334937481,-79.1670580078443,48.423075485903794,12.891217148322001,42.094264596537215,29.203047448215216,38.813061467059505
OSPsychRWAS,21.427114020005472,64.76151105635653,43.33439703635105,22.85105024941876,42.41270024921373,19.56164999979497,31.448023518073008
MoralMachine,-108.7088646473321,-62.91071236838369,45.798152278948415,-9.868649107779169e-17,5.335569240705848,5.335569240705848,25.56686075982713
NumberGame,-35.62841013376348,-8.426683137971965,27.20172699579152,-1.879385536085465e-14,10.673497866142313,10.673497866142332,18.937612430966926
ChaosNLI,-14.070463697391318,17.623680754407605,31.694144451798923,-14.456993918331877,-9.618580674867646,4.838413243464231,18.266278847631575
OSPsychMGKT,-353.23664423171834,-324.58297210746815,28.653672124250193,58.232976344692524,51.423186925685584,-6.80978941900694,10.921941352621626
OpinionQA,50.817968273487395,53.16841732833144,2.3504490548440486,-3.2914643953550007,15.700738530500029,18.99220292585503,10.671325990349539
WisdomOfCrowds,38.50088962018067,43.572476322940666,5.071586702759994,-7.083996273292462,1.366046100798077,8.45004237409054,6.760814538425267
Jester,-38.02192956941198,-47.10327021675829,-9.081340647346307,3.8209482001358945,25.700054084158257,21.879105884022362,6.398882618338027
TISP,17.366369267850605,7.1536827143229775,-10.212686553527629,27.05952035248845,32.96884469743484,5.909324344946391,-2.1516811042906188
ISSP,44.73102504883472,26.153276810044492,-18.577748238790225,31.099577006864564,27.248236138295685,-3.8513408685688795,-11.214544553679552
OSPsychBig5,6.43371655517177,-32.72006866629802,-39.15378522146979,16.304677786568913,32.027503058130876,15.722825271561963,-11.715479974953913
DICES,68.36757804439107,71.58265006099687,3.215072016605802,88.46612529137587,17.392740745303634,-71.07338454607225,-33.92915626473322
OSPsychMACH,-121.31586726775558,-136.85065774887306,-15.534790481117485,-42.90887591456656,-104.49322389328218,-61.58434797871562,-38.559569229916555
Choices13k,0.4,-216.81025781040776,-217.21025781040777,-4.092726157978177e-15,-3.697565129821518,-3.697565129821514,-110.45391147011465
