dataset_name,label,variant_label,variant_order,row_count,baseline_mean_simbench_score,mean_simbench_score,delta_mean_simbench_score
ConspiracyCorr,full_card,Full profile,0,1,-177.4193548387097,-93.20060483870968,84.21875000000001
ConspiracyCorr,background_only,Background,1,1,-177.4193548387097,-91.3457661290322,86.0735887096775
ConspiracyCorr,direct_social_only,Direct social,2,1,-177.4193548387097,-92.62096774193547,84.79838709677422
ConspiracyCorr,self_report_social_only,Self-report social,3,1,-177.4193548387097,-58.53830645161289,118.8810483870968
ConspiracyCorr,non_social_econ_only,Non-social econ,4,1,-177.4193548387097,-41.72883064516127,135.6905241935484
ConspiracyCorr,cognitive_only,Cognitive,5,1,-177.4193548387097,-44.2439516129032,133.1754032258065
ConspiracyCorr,misc_heuristics_pricing_text_only,Misc/pricing/text,6,1,-177.4193548387097,-58.07459677419351,119.34475806451618
GlobalOpinionQA,full_card,Full profile,0,23,12.891217148322,42.09426459653722,29.203047448215223
GlobalOpinionQA,background_only,Background,1,23,12.891217148322,40.80514638220605,27.913929233884048
GlobalOpinionQA,direct_social_only,Direct social,2,23,12.891217148322,33.8253748783474,20.934157730025397
GlobalOpinionQA,self_report_social_only,Self-report social,3,23,12.891217148322,36.076161272561194,23.184944124239195
GlobalOpinionQA,non_social_econ_only,Non-social econ,4,23,12.891217148322,28.451987249092895,15.560770100770895
GlobalOpinionQA,cognitive_only,Cognitive,5,23,12.891217148322,30.319715139892946,17.428497991570946
GlobalOpinionQA,misc_heuristics_pricing_text_only,Misc/pricing/text,6,23,12.891217148322,34.2474745782303,21.356257429908304
Jester,full_card,Full profile,0,136,3.8209482001358945,25.700054084158257,21.879105884022362
Jester,background_only,Background,1,136,3.8209482001358945,22.981432658847833,19.160484458711938
Jester,direct_social_only,Direct social,2,136,3.8209482001358945,19.507196540828605,15.68624834069271
Jester,self_report_social_only,Self-report social,3,136,3.8209482001358945,18.47049571703623,14.649547516900334
Jester,non_social_econ_only,Non-social econ,4,136,3.8209482001358945,17.41454725832754,13.593599058191646
Jester,cognitive_only,Cognitive,5,136,3.8209482001358945,21.562311692481412,17.741363492345517
Jester,misc_heuristics_pricing_text_only,Misc/pricing/text,6,136,3.8209482001358945,25.05542112319211,21.234472923056217
OSPsychRWAS,full_card,Full profile,0,22,22.85105024941876,42.412700249213735,19.561649999794977
OSPsychRWAS,background_only,Background,1,22,22.85105024941876,25.022628976730672,2.171578727311914
OSPsychRWAS,direct_social_only,Direct social,2,22,22.85105024941876,33.572456585264355,10.721406335845597
OSPsychRWAS,self_report_social_only,Self-report social,3,22,22.85105024941876,18.54389132691206,-4.307158922506698
OSPsychRWAS,non_social_econ_only,Non-social econ,4,22,22.85105024941876,9.669799663078482,-13.181250586340276
OSPsychRWAS,cognitive_only,Cognitive,5,22,22.85105024941876,28.705183382223808,5.85413313280505
OSPsychRWAS,misc_heuristics_pricing_text_only,Misc/pricing/text,6,22,22.85105024941876,18.438851454474182,-4.412198794944576
OpinionQA,full_card,Full profile,0,500,-3.2914643953550007,15.700738530500027,18.99220292585503
OpinionQA,background_only,Background,1,500,-3.2914643953550007,21.394172379909776,24.685636775264776
OpinionQA,direct_social_only,Direct social,2,500,-3.2914643953550007,15.865285187084964,19.156749582439964
OpinionQA,self_report_social_only,Self-report social,3,500,-3.2914643953550007,8.790679801182867,12.082144196537868
OpinionQA,non_social_econ_only,Non-social econ,4,500,-3.2914643953550007,12.128226691239586,15.419691086594586
OpinionQA,cognitive_only,Cognitive,5,500,-3.2914643953550007,11.230288731193433,14.521753126548433
OpinionQA,misc_heuristics_pricing_text_only,Misc/pricing/text,6,500,-3.2914643953550007,16.98183018065735,20.27329457601235
OSPsychBig5,full_card,Full profile,0,40,16.304677786568913,32.027503058130876,15.722825271561963
OSPsychBig5,background_only,Background,1,40,16.304677786568913,31.408209524291756,15.103531737722843
OSPsychBig5,direct_social_only,Direct social,2,40,16.304677786568913,30.188822750118774,13.884144963549861
OSPsychBig5,self_report_social_only,Self-report social,3,40,16.304677786568913,25.737658106177474,9.43298031960856
OSPsychBig5,non_social_econ_only,Non-social econ,4,40,16.304677786568913,18.422003725466848,2.1173259388979346
OSPsychBig5,cognitive_only,Cognitive,5,40,16.304677786568913,29.80576958996779,13.501091803398879
OSPsychBig5,misc_heuristics_pricing_text_only,Misc/pricing/text,6,40,16.304677786568913,24.555099120087505,8.250421333518592
NumberGame,full_card,Full profile,0,500,-1.8189894035458565e-14,10.673497866142313,10.67349786614233
NumberGame,background_only,Background,1,500,-1.8189894035458565e-14,16.894248633115897,16.894248633115915
NumberGame,direct_social_only,Direct social,2,500,-1.8189894035458565e-14,1.1827212768158482,1.1827212768158664
NumberGame,self_report_social_only,Self-report social,3,500,-1.8189894035458565e-14,5.2772569394395985,5.277256939439616
NumberGame,non_social_econ_only,Non-social econ,4,500,-1.8189894035458565e-14,3.559447833594138,3.5594478335941564
NumberGame,cognitive_only,Cognitive,5,500,-1.8189894035458565e-14,5.886462538855191,5.886462538855209
NumberGame,misc_heuristics_pricing_text_only,Misc/pricing/text,6,500,-1.8189894035458565e-14,14.486524273265696,14.486524273265713
WisdomOfCrowds,full_card,Full profile,0,14,-7.083996273292461,1.3660461007980769,8.450042374090538
WisdomOfCrowds,background_only,Background,1,14,-7.083996273292461,0.2383063812052864,7.322302654497747
WisdomOfCrowds,direct_social_only,Direct social,2,14,-7.083996273292461,-2.130037554590921,4.953958718701539
WisdomOfCrowds,self_report_social_only,Self-report social,3,14,-7.083996273292461,1.2689699747301115,8.352966248022572
WisdomOfCrowds,non_social_econ_only,Non-social econ,4,14,-7.083996273292461,-2.997007104491801,4.08698916880066
WisdomOfCrowds,cognitive_only,Cognitive,5,14,-7.083996273292461,0.6803685383112802,7.764364811603741
WisdomOfCrowds,misc_heuristics_pricing_text_only,Misc/pricing/text,6,14,-7.083996273292461,2.4691057620887737,9.553102035381235
TISP,full_card,Full profile,0,10,27.05952035248845,32.96884469743483,5.909324344946384
TISP,background_only,Background,1,10,27.05952035248845,42.982275010731065,15.922754658242617
TISP,direct_social_only,Direct social,2,10,27.05952035248845,38.611476235260206,11.551955882771757
TISP,self_report_social_only,Self-report social,3,10,27.05952035248845,44.26068766963672,17.20116731714827
TISP,non_social_econ_only,Non-social econ,4,10,27.05952035248845,35.804106743903375,8.744586391414927
TISP,cognitive_only,Cognitive,5,10,27.05952035248845,36.321837314029935,9.262316961541487
TISP,misc_heuristics_pricing_text_only,Misc/pricing/text,6,10,27.05952035248845,35.71736669241622,8.657846339927772
MoralMachine,full_card,Full profile,0,72,-7.894919286223335e-16,5.335569240705849,5.3355692407058495
MoralMachine,background_only,Background,1,72,-7.894919286223335e-16,0.2696557558301183,0.2696557558301191
MoralMachine,direct_social_only,Direct social,2,72,-7.894919286223335e-16,4.613638913279093,4.613638913279094
MoralMachine,self_report_social_only,Self-report social,3,72,-7.894919286223335e-16,-1.376725451724676,-1.3767254517246752
MoralMachine,non_social_econ_only,Non-social econ,4,72,-7.894919286223335e-16,-2.999390175570264,-2.999390175570263
MoralMachine,cognitive_only,Cognitive,5,72,-7.894919286223335e-16,2.2089203386672858,2.2089203386672867
MoralMachine,misc_heuristics_pricing_text_only,Misc/pricing/text,6,72,-7.894919286223335e-16,-0.353003898541248,-0.3530038985412472
ChaosNLI,full_card,Full profile,0,500,-14.45699391833188,-9.618580674867646,4.838413243464235
ChaosNLI,background_only,Background,1,500,-14.45699391833188,-7.451037098772653,7.005956819559228
ChaosNLI,direct_social_only,Direct social,2,500,-14.45699391833188,-9.394362809830575,5.062631108501305
ChaosNLI,self_report_social_only,Self-report social,3,500,-14.45699391833188,-4.5438591058684565,9.913134812463424
ChaosNLI,non_social_econ_only,Non-social econ,4,500,-14.45699391833188,-9.138576292791718,5.318417625540162
ChaosNLI,cognitive_only,Cognitive,5,500,-14.45699391833188,-5.6200113988212985,8.836982519510581
ChaosNLI,misc_heuristics_pricing_text_only,Misc/pricing/text,6,500,-14.45699391833188,-8.584793622920774,5.8722002954111066
Choices13k,full_card,Full profile,0,500,-4.547473508864641e-15,-3.6975651298215175,-3.697565129821513
Choices13k,background_only,Background,1,500,-4.547473508864641e-15,-3.3358756816580946,-3.33587568165809
Choices13k,direct_social_only,Direct social,2,500,-4.547473508864641e-15,-6.2265778702288115,-6.226577870228807
Choices13k,self_report_social_only,Self-report social,3,500,-4.547473508864641e-15,-6.353079955780013,-6.353079955780008
Choices13k,non_social_econ_only,Non-social econ,4,500,-4.547473508864641e-15,-4.863156397323364,-4.863156397323359
Choices13k,cognitive_only,Cognitive,5,500,-4.547473508864641e-15,-6.618382988760166,-6.618382988760161
Choices13k,misc_heuristics_pricing_text_only,Misc/pricing/text,6,500,-4.547473508864641e-15,-5.071680329298109,-5.071680329298105
ISSP,full_card,Full profile,0,17,31.099577006864564,27.248236138295685,-3.8513408685688795
ISSP,background_only,Background,1,17,31.099577006864564,26.54178356974814,-4.557793437116423
ISSP,direct_social_only,Direct social,2,17,31.099577006864564,23.788623568248624,-7.31095343861594
ISSP,self_report_social_only,Self-report social,3,17,31.099577006864564,20.262032542727077,-10.837544464137487
ISSP,non_social_econ_only,Non-social econ,4,17,31.099577006864564,24.29297739712001,-6.806599609744556
ISSP,cognitive_only,Cognitive,5,17,31.099577006864564,23.640477049474327,-7.459099957390237
ISSP,misc_heuristics_pricing_text_only,Misc/pricing/text,6,17,31.099577006864564,26.025056673103947,-5.074520333760617
OSPsychMGKT,full_card,Full profile,0,111,58.23297634469253,51.423186925685584,-6.809789419006947
OSPsychMGKT,background_only,Background,1,111,58.23297634469253,61.71710290114104,3.4841265564485084
OSPsychMGKT,direct_social_only,Direct social,2,111,58.23297634469253,41.159819825896776,-17.073156518795756
OSPsychMGKT,self_report_social_only,Self-report social,3,111,58.23297634469253,34.023712047147214,-24.209264297545317
OSPsychMGKT,non_social_econ_only,Non-social econ,4,111,58.23297634469253,40.10877771565634,-18.124198629036194
OSPsychMGKT,cognitive_only,Cognitive,5,111,58.23297634469253,47.04767820184359,-11.185298142848943
OSPsychMGKT,misc_heuristics_pricing_text_only,Misc/pricing/text,6,111,58.23297634469253,44.80015164291515,-13.432824701777385
OSPsychMACH,full_card,Full profile,0,1,-42.90887591456656,-104.49322389328218,-61.58434797871562
OSPsychMACH,background_only,Background,1,1,-42.90887591456656,-80.49091581148757,-37.58203989692101
OSPsychMACH,direct_social_only,Direct social,2,1,-42.90887591456656,-48.04090491279287,-5.1320289982263105
OSPsychMACH,self_report_social_only,Self-report social,3,1,-42.90887591456656,-79.66529982078193,-36.75642390621537
OSPsychMACH,non_social_econ_only,Non-social econ,4,1,-42.90887591456656,-59.13718382787676,-16.228307913310204
OSPsychMACH,cognitive_only,Cognitive,5,1,-42.90887591456656,-104.0771134339665,-61.168237519399945
OSPsychMACH,misc_heuristics_pricing_text_only,Misc/pricing/text,6,1,-42.90887591456656,-106.15766573054472,-63.248789815978164
DICES,full_card,Full profile,0,247,88.46612529137589,17.392740745303634,-71.07338454607225
DICES,background_only,Background,1,247,88.46612529137589,22.415593329123787,-66.05053196225211
DICES,direct_social_only,Direct social,2,247,88.46612529137589,4.929636975308535,-83.53648831606735
DICES,self_report_social_only,Self-report social,3,247,88.46612529137589,10.176801258350396,-78.2893240330255
DICES,non_social_econ_only,Non-social econ,4,247,88.46612529137589,9.60858542522216,-78.85753986615373
DICES,cognitive_only,Cognitive,5,247,88.46612529137589,7.9404031962224115,-80.52572209515348
DICES,misc_heuristics_pricing_text_only,Misc/pricing/text,6,247,88.46612529137589,7.61389784356438,-80.85222744781152
