metric_label,metric,oracle_floor_rmse,linear_rmse,linear_ratio_to_floor,best_supervised_model,best_supervised_rmse,best_supervised_ratio_to_floor,best_llm_model,best_llm_rmse,best_llm_ratio_to_floor
Contrib slope,total_contribution_rate_decay_slope,0.0606840194410311,0.1231076174641225,2.0286661727104405,elastic_net,0.0976532295945729,1.6092083302007731,gpt-5-mini twin,0.3181343059740354,5.242472547211186
Final contrib,final_total_contribution_rate,0.0639622274306265,0.1162044311002298,1.8167664849737324,ridge,0.1019024942519561,1.5931667539639645,gpt-5-mini twin,0.3680312334515414,5.753883944249885
Final eff,final_round_normalized_efficiency,0.2991792643505873,0.306592487986531,1.0247785342076936,ridge,0.3043778291290238,1.0173760865069337,gpt-5.1 twin,0.4367503505286219,1.4598282787968375
Mean contrib,mean_total_contribution_rate,0.0479731047546632,0.1151276792559531,2.3998379893217594,ridge,0.0872884654599391,1.8195292113432424,gpt-5.1 twin,0.1540392302693357,3.210949782322821
Mean eff,mean_round_normalized_efficiency,0.0918474244389945,0.2423632665950794,2.638759530552304,random_forest,0.1180993269034285,1.285820779676524,gpt-5.1 twin,0.1949197251814547,2.122212205426852
Within-round var,mean_within_round_contribution_rate_var,0.014550067465587,0.0358208131115111,2.461900138692298,random_forest,0.0263791935411901,1.8129945860100376,gpt-5-mini baseline,0.0411027529866365,2.8249183781347007
