run,metric,pearson_r,spearman_rho
gpt-5.1 baseline,mean_total_contribution_rate,0.2414044941400064,0.20393996247654786
gpt-5.1 baseline,mean_round_normalized_efficiency,0.06752248210495443,0.05609756097560976
gpt-5.1 baseline,final_total_contribution_rate,0.28844561849334177,0.28373053605204873
gpt-5.1 baseline,final_round_normalized_efficiency,0.27138193268798116,0.17902045727093552
gpt-5.1 baseline,mean_within_round_contribution_rate_var,0.7683376272632919,0.8120075046904317
gpt-5.1 baseline,total_contribution_rate_decay_slope,0.28376198636671157,0.13020637898686682
gpt-5.1 baseline,round_normalized_efficiency_decay_slope,0.1429228971909441,0.13395872420262664
gpt-5.1 twin,mean_total_contribution_rate,0.17622708656487765,0.15872420262664166
gpt-5.1 twin,mean_round_normalized_efficiency,0.008062401403965235,0.017260787992495315
gpt-5.1 twin,final_total_contribution_rate,0.19988075185614196,0.17083352896508294
gpt-5.1 twin,final_round_normalized_efficiency,0.23291095034166764,0.05234521575984991
gpt-5.1 twin,mean_within_round_contribution_rate_var,0.8568861283698941,0.8078799249530959
gpt-5.1 twin,total_contribution_rate_decay_slope,0.27910547822820986,0.19493433395872423
gpt-5.1 twin,round_normalized_efficiency_decay_slope,0.07199383387665236,0.07429643527204503
gpt-5-mini baseline,mean_total_contribution_rate,0.26763697319175206,0.2654784240150094
gpt-5-mini baseline,mean_round_normalized_efficiency,0.06118164192292626,0.05497185741088181
gpt-5-mini baseline,final_total_contribution_rate,0.2734565042333958,0.27407929442793655
gpt-5-mini baseline,final_round_normalized_efficiency,0.21283519308390972,0.23062488677775658
gpt-5-mini baseline,mean_within_round_contribution_rate_var,0.799400831256389,0.8232645403377112
gpt-5-mini baseline,total_contribution_rate_decay_slope,0.2534728791909451,0.19662288930581617
gpt-5-mini baseline,round_normalized_efficiency_decay_slope,0.06395611959554129,0.06547842401500939
gpt-5-mini twin,mean_total_contribution_rate,0.24194326504734956,0.21248651461060564
gpt-5-mini twin,mean_round_normalized_efficiency,0.12004024990321895,0.07448754640212842
gpt-5-mini twin,final_total_contribution_rate,0.2975937193030438,0.2693498463866081
gpt-5-mini twin,final_round_normalized_efficiency,0.21574354799750695,0.18461538461538465
gpt-5-mini twin,mean_within_round_contribution_rate_var,0.7418053690940507,0.7694183864915572
gpt-5-mini twin,total_contribution_rate_decay_slope,0.3614881457651859,0.2538461538461539
gpt-5-mini twin,round_normalized_efficiency_decay_slope,-0.012053080674756007,-0.006566604127579738
