case_group,role_slice,game,generated_mean_expected_payoff,benchmark_mean_expected_payoff,data_source,generated_relative_payoff_diff_pct,human_mean_expected_payoff,human_relative_payoff_diff_pct,abs_error_relative_payoff_diff_pct
Benchmark,both,Sender,5.641415261756877,5.546530612244899,generated,1.7107027103123507,5.546530612244899,0.0,1.7107027103123507
Benchmark,both,Receiver,5.153283052351376,5.159285714285715,generated,-0.11634676322960225,5.159285714285715,0.0,0.11634676322960225
Benchmark,both,PD,3.3685669920141974,4.312448979591837,generated,-21.887377498132754,4.312448979591837,0.0,21.887377498132754
Benchmark,both,SH,6.542258207630879,6.584693877551021,generated,-0.6444592673444771,6.584693877551021,0.0,0.6444592673444771
Benchmark,both,C,4.253992901508429,3.7369387755102044,generated,13.836301771565186,3.7369387755102044,0.0,13.836301771565186
Benchmark,both,Proposer,3.0879547471162376,4.225408163265306,generated,-26.919373755127797,4.225408163265306,0.0,26.919373755127797
Benchmark,both,Responder,5.0188553682342505,3.459387755102041,generated,45.07929505249146,3.459387755102041,0.0,45.07929505249146
Benchmark,no,Sender,5.62888198757764,5.546530612244899,generated,1.4847366956009633,5.546530612244899,0.0,1.4847366956009633
Benchmark,no,Receiver,5.104037267080745,5.1079591836734695,generated,-0.07678049983759205,5.1079591836734695,0.0,0.07678049983759205
Benchmark,no,PD,3.3944099378881987,4.312448979591837,generated,-21.2881136924321,4.312448979591837,0.0,21.2881136924321
Benchmark,no,SH,6.5769742679680565,6.6446938775510205,generated,-1.019153189460742,6.6446938775510205,0.0,1.019153189460742
Benchmark,no,C,4.3145519077196095,3.7369387755102044,generated,15.45685297267263,3.7369387755102044,0.0,15.45685297267263
Benchmark,no,Proposer,2.698757763975155,4.270816326530612,generated,-36.80932267655058,4.270816326530612,0.0,36.80932267655058
Benchmark,no,Responder,5.088065661047027,3.3659183673469384,generated,51.164262045294585,3.3659183673469384,0.0,51.164262045294585
Benchmark,yes,Sender,5.653948535936115,5.546530612244899,generated,1.9366687250237602,5.546530612244899,0.0,1.9366687250237602
Benchmark,yes,Receiver,5.202528837622006,5.210612244897959,generated,-0.15513354085920916,5.210612244897959,0.0,0.15513354085920916
Benchmark,yes,PD,3.3427240461401952,4.312448979591837,generated,-22.486641303833434,4.312448979591837,0.0,22.486641303833434
Benchmark,yes,SH,6.5075421472937,6.52469387755102,generated,-0.26287409921763594,6.52469387755102,0.0,0.26287409921763594
Benchmark,yes,C,4.193433895297249,3.7369387755102044,generated,12.215750570457761,3.7369387755102044,0.0,12.215750570457761
Benchmark,yes,Proposer,3.4771517302573205,4.18,generated,-16.8145519077196,4.18,0.0,16.8145519077196
Benchmark,yes,Responder,4.949645075421473,3.552857142857143,generated,39.314497498794964,3.552857142857143,0.0,39.314497498794964
AIR,both,Sender,5.536268855368234,5.546530612244899,generated,-0.18501217416903026,5.540816326530612,-0.10302450511445738,0.08198766905457289
AIR,both,Receiver,5.077417923691216,5.159285714285715,generated,-1.5868047463975965,5.0786734693877555,-1.562469096734631,0.02433564966296542
AIR,both,PD,4.363132209405501,4.312448979591837,generated,1.1752772045192206,4.735,9.798400454308842,8.623123249789622
AIR,both,SH,6.56055900621118,6.584693877551021,generated,-0.36652989172546446,6.6,0.23245002324498998,0.5989799149704544
AIR,both,C,2.460847382431233,3.7369387755102044,generated,-34.14804121067642,2.5305102040816325,-32.283873081754145,1.8641681289222731
AIR,both,Proposer,3.2823868677905947,4.225408163265306,generated,-22.317874606129518,4.117857142857143,-2.5453403849404643,19.772534221189055
AIR,both,Responder,4.721273291925465,3.459387755102041,generated,36.47713486186526,3.453979591836734,-0.1563329597074059,36.633467821572665
AIR,no,Sender,5.530834072759538,5.546530612244899,generated,-0.28299743718547266,5.540816326530612,-0.10302450511445738,0.17997293207101528
AIR,no,Receiver,5.0,5.1079591836734695,generated,-2.113548283990574,5.0,-2.113548283990574,0.0
AIR,no,PD,5.8478260869565215,4.312448979591837,generated,35.60336863417233,6.59,52.81340211064312,17.21003347647079
AIR,no,SH,7.086956521739131,6.6446938775510205,generated,6.6558768897132525,7.16,7.755152185263681,1.0992752955504281
AIR,no,C,2.391304347826087,3.7369387755102044,generated,-36.009003853706375,2.5351020408163265,-32.16099612254929,3.8480077311570824
AIR,no,Proposer,2.2100709849157054,4.270816326530612,generated,-48.251790385210704,3.8585714285714285,-9.65260190184929,38.59918848336142
AIR,no,Responder,3.78416149068323,3.3659183673469384,generated,12.425824921771845,1.253469387755102,-62.759958770387435,75.18578369215928
AIR,yes,Sender,5.54170363797693,5.546530612244899,generated,-0.08702691115257677,5.540816326530612,-0.10302450511445738,0.015997593961880607
AIR,yes,Receiver,5.154835847382431,5.210612244897959,generated,-1.0704384608573037,5.157346938775509,-1.0222465925113777,0.048191868345925926
AIR,yes,PD,2.878438331854481,4.312448979591837,generated,-33.252814225133896,2.88,-33.216601202025466,0.036213023108430775
AIR,yes,SH,6.034161490683229,6.52469387755102,generated,-7.518090443377357,6.04,-7.428607175252566,0.08948326812479124
AIR,yes,C,2.53039041703638,3.7369387755102044,generated,-32.28707856764645,2.525918367346939,-32.40675004095899,0.11967147331254324
