metric_family,metric,distance_kind,n_groups,mean_value,median_value,stderr
payoff_distribution_distance,sender_expected_payoff,wasserstein_1d,4,0.0786401952085182,0.0864729370008873,0.021793650246684625
payoff_distribution_distance,receiver_expected_payoff,wasserstein_1d,4,0.008020186335403703,0.008651286601597157,0.002593590117652537
payoff_distribution_distance,pd_expected_payoff,wasserstein_1d,4,0.6165150842945873,0.5718367346938775,0.122969457766784
payoff_distribution_distance,sh_expected_payoff,wasserstein_1d,4,0.07600266193433897,0.07348491570541263,0.007493384783983719
payoff_distribution_distance,c_expected_payoff,wasserstein_1d,4,0.3345219609582964,0.37423469387755104,0.09465217457874749
payoff_distribution_distance,proposer_expected_payoff,wasserstein_1d,4,0.875710958296362,0.9054569653948537,0.12399440049067947
payoff_distribution_distance,responder_expected_payoff,wasserstein_1d,4,1.218374001774623,1.153493788819876,0.12758209469994328
payoff_distribution_distance,mean_expected_payoff,mean_wasserstein_1d,4,0.4582550069717328,0.3566370896184561,0.08771504563393477
