metric_scope,metric,n_groups,mean_abs_error,median_abs_error
paper_index_scenario,equality_index_mean,6,0.09417832641825742,0.04415103775943968
paper_index_scenario,intentions_index_mean,6,0.10745135387003635,0.07500000000000001
paper_index_scenario,kindness_index_mean,6,0.25617357400735724,0.2434883720930232
paper_index_scenario,payoff_index_mean,6,0.12636868347612185,0.1103809523809523
paper_index_scenario,predictability_index_mean,6,0.27714759085248997,0.28705882352941176
paper_index_scenario,prosociality_index_mean,6,0.12664511134311324,0.1274509043927649
paper_index_session,delegation_index_mean,4,0.05571428571428576,0.06428571428571433
scenario,C_decision_nonnull_rate,6,0.0275,0.0
scenario,PD_decision_nonnull_rate,6,0.09625,0.0
scenario,SH_decision_nonnull_rate,6,0.0475,0.0
scenario,TGReceiver_decision_direct_mean,6,0.36742295585252827,0.3474999999999999
scenario,TGReceiver_decision_nonnull_rate,6,0.027500000000000004,0.0
scenario,TGSender_decision_nonnull_rate,6,0.125,0.0
scenario,UGProposer_decision_direct_mean,6,0.4708916320912874,0.22075518879719924
scenario,UGProposer_decision_nonnull_rate,6,0.0925,0.0
scenario,UGResponder_decision_direct_mean,6,1.1316647227366399,0.9458503401360543
scenario,UGResponder_decision_nonnull_rate,6,0.09874999999999999,0.0
session,C_delegated,4,0.11,0.12
session,PD_delegated,4,0.385,0.38
session,SH_delegated,4,0.19,0.19
session,TGReceiver_delegated,4,0.11,0.10999999999999999
session,TGSender_delegated,4,0.5,0.48000000000000004
session,UGProposer_delegated,4,0.37,0.36
session,UGResponder_delegated,4,0.395,0.41000000000000003
