metric_family,metric,distance_kind,n_groups,mean_score,median_score
behavior_distribution_distance,fairness_wd,mean_wasserstein_1d,6,0.27085000000000004,0.2468837209302326
behavior_distribution_distance,trust_wd,mean_wasserstein_1d,6,0.25085852713178297,0.22
behavior_distribution_distance,trustworthiness_wd,mean_wasserstein_1d,6,0.15668184754521966,0.15000000000000002
behavior_distribution_distance,cooperation_wd,mean_wasserstein_1d,6,0.26568410852713176,0.23767441860465113
behavior_distribution_distance,coordination_wd,mean_wasserstein_1d,6,0.29337403100775195,0.33
behavior_distribution_distance,fairness_offer_wd,wasserstein_1d,6,0.194496511627907,0.1773953488372093
behavior_distribution_distance,inequality_tolerance_wd,wasserstein_1d,6,0.347203488372093,0.32800000000000007
behavior_distribution_distance,trust_send_wd,wasserstein_1d,6,0.25085852713178297,0.22
behavior_distribution_distance,trustworthiness_return_wd,wasserstein_1d,6,0.15668184754521966,0.15000000000000002
behavior_distribution_distance,cooperation_pd_wd,wasserstein_1d,6,0.3095019379844961,0.3040600775193798
behavior_distribution_distance,cooperation_sh_wd,wasserstein_1d,6,0.22186627906976747,0.15000000000000002
behavior_distribution_distance,coordination_earth_wd,wasserstein_1d,6,0.29337403100775195,0.33
paper_index_distribution_distance,delegation_index_wd,wasserstein_1d,4,0.14142857142857143,0.15857142857142856
paper_index_distribution_distance,payoff_index_wd,wasserstein_1d,6,0.14689488739654924,0.1341341755749919
paper_index_distribution_distance,prosociality_index_wd,wasserstein_1d,6,0.15517727405084042,0.1496618801143646
paper_index_distribution_distance,kindness_index_wd,wasserstein_1d,6,0.2572782251701479,0.2523255813953489
paper_index_distribution_distance,intentions_index_wd,wasserstein_1d,6,0.17427384776364738,0.16166666666666663
paper_index_distribution_distance,predictability_index_wd,wasserstein_1d,6,0.27714759085248997,0.2870588235294118
paper_index_distribution_distance,equality_index_wd,wasserstein_1d,6,0.15184382873133576,0.14234188034188033
delegation_distribution_distance,mean_delegation_wd,mean_wasserstein_1d,4,0.2942857142857143,0.2928571428571429
delegation_distribution_distance,C_delegated,wasserstein_1d,4,0.11,0.11999999999999997
delegation_distribution_distance,PD_delegated,wasserstein_1d,4,0.385,0.38
delegation_distribution_distance,SH_delegated,wasserstein_1d,4,0.19,0.19
delegation_distribution_distance,TGReceiver_delegated,wasserstein_1d,4,0.11000000000000001,0.11000000000000001
delegation_distribution_distance,TGSender_delegated,wasserstein_1d,4,0.5,0.48000000000000004
delegation_distribution_distance,UGProposer_delegated,wasserstein_1d,4,0.37,0.36
delegation_distribution_distance,UGResponder_delegated,wasserstein_1d,4,0.39499999999999996,0.41
scenario_state_distribution_distance,mean_role_state_tv,total_variation,6,0.4195717400332226,0.41285714285714287
scenario_state_distribution_distance,C_decision_state,total_variation,6,0.29994791666666665,0.3095833333333333
scenario_state_distribution_distance,PD_decision_state,total_variation,6,0.34843871124031006,0.33999999999999997
scenario_state_distribution_distance,SH_decision_state,total_variation,6,0.20366642441860466,0.17
scenario_state_distribution_distance,TGReceiver_decision_state,total_variation,6,0.4246705426356589,0.38372093023255816
scenario_state_distribution_distance,TGSender_decision_state,total_variation,6,0.3405365794573643,0.2651162790697675
scenario_state_distribution_distance,UGProposer_decision_state,total_variation,6,0.5020421511627907,0.51
scenario_state_distribution_distance,UGResponder_decision_state,total_variation,6,0.8176998546511628,0.8266666666666667
scenario_direct_value_distance,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,1.0993492748717242,1.048759689922481
scenario_direct_value_distance,UGProposer_decision_direct,wasserstein_1d,6,0.7592191436566789,0.7117094017094017
scenario_direct_value_distance,UGResponder_decision_direct,wasserstein_1d,6,1.6447204194985487,1.6318604651162791
scenario_direct_value_distance,TGReceiver_decision_direct,wasserstein_1d,6,0.8941082614599452,0.8060846560846561
